side,row,col,board_no,socket,label,shift
front,4,1,143,1,143-01,0.5
front,3,1,143,2,143-02,0.5
front,2,2,143,3,143-03,0.5
front,1,1,143,4,143-04,0.5
front,0,1,143,5,143-05,0.5
front,0,2,143,6,143-06,0.5
front,0,4,143,7,143-07,0.5
front,2,4,143,8,143-08,0.5
front,3,4,143,9,143-09,0.5
front,0,5,143,10,143-10,0.5
front,2,5,143,11,143-11,0.5
front,0,6,143,13,143-13,0.5
front,2,6,143,14,143-14,0.5
front,2,7,143,16,143-16,0.5
front,0,7,143,17,143-17,0.5
front,1,8,143,19,143-19,0.5
front,0,8,143,20,143-20,0.5
front,2,9,143,22,143-22,0.5
front,0,9,143,23,143-23,0.5
front,0,10,143,24,143-24,0.5
front,0,11,143,25,143-25,0.5
front,0,12,143,26,143-26,0.5
front,1,12,143,27,143-27,0.5
front,2,12,143,28,143-28,0.5
front,3,12,143,29,143-29,0.5
front,3,10,143,30,143-30,0.5
front,4,10,143,32,143-32,0.5
front,4,12,143,33,143-33,0.5
front,5,12,143,34,143-34,0.5
front,5,10,143,35,143-35,0.5
front,6,11,143,36,143-36,0.5
front,6,9,143,39,143-39,0.5
front,4,9,143,40,143-40,0.5
front,4,8,143,42,143-42,0.5
front,5,8,143,43,143-43,0.5
front,6,7,143,46,143-46,0.5
front,4,7,143,47,143-47,0.5
front,4,6,143,49,143-49,0.5
front,6,6,143,50,143-50,0.5
front,6,5,143,53,143-53,0.5
front,4,5,143,54,143-54,0.5
front,4,4,143,55,143-55,0.5
front,5,4,143,56,143-56,0.5
front,4,3,143,57,143-57,0.5
front,4,2,143,58,143-58,0.5
front,6,2,143,59,143-59,0.5
front,6,1,143,60,143-60,0.5
front,3,3,144,1,144-01,0.5
front,3,2,144,2,144-02,0.5
front,2,3,144,3,144-03,0.5
front,2,1,144,4,144-04,0.5
front,1,2,144,5,144-05,0.5
front,1,3,144,6,144-06,0.5
front,0,3,144,7,144-07,0.5
front,1,4,144,8,144-08,0.5
front,3,5,144,10,144-10,0.5
front,1,5,144,11,144-11,0.5
front,3,6,144,13,144-13,0.5
front,1,6,144,14,144-14,0.5
front,1,7,144,16,144-16,0.5
front,3,7,144,17,144-17,0.5
front,2,8,144,19,144-19,0.5
front,3,8,144,20,144-20,0.5
front,1,9,144,22,144-22,0.5
front,1,10,144,25,144-25,0.5
front,1,11,144,26,144-26,0.5
front,2,10,144,27,144-27,0.5
front,2,11,144,28,144-28,0.5
front,3,9,144,29,144-29,0.5
