side,row,col,board_no,socket,label,shift
front,6,4,147,1,147-01,0.5
front,6,5,147,2,147-02,0.5
front,6,8,147,5,147-05,0.5
front,6,7,147,6,147-06,0.5
front,6,6,147,7,147-07,0.5
front,5,7,147,8,147-08,0.5
front,5,5,147,9,147-09,0.5
front,5,6,147,10,147-10,0.5
front,4,7,147,11,147-11,0.5
front,4,6,147,12,147-12,0.5
front,4,5,147,13,147-13,0.5
front,3,7,147,14,147-14,0.5
front,3,6,147,15,147-15,0.5
front,3,5,147,16,147-16,0.5
front,2,5,147,17,147-17,0.5
front,2,6,147,18,147-18,0.5
front,2,7,147,19,147-19,0.5
front,1,6,147,20,147-20,0.5
front,1,5,147,21,147-21,0.5
front,1,7,147,22,147-22,0.5
front,0,6,147,23,147-23,0.5
front,1,8,147,24,147-24,0.5
front,0,7,147,25,147-25,0.5
front,0,5,147,28,147-28,0.5
front,1,4,147,30,147-30,0.5
front,0,4,147,31,147-31,0.5
front,0,1,147,36,147-36,0.5
front,0,3,147,37,147-37,0.5
front,0,2,147,38,147-38,0.5
front,1,1,147,39,147-39,0.5
front,1,3,147,40,147-40,0.5
front,1,2,147,41,147-41,0.5
front,2,4,147,42,147-42,0.5
front,2,1,147,43,147-43,0.5
front,2,3,147,44,147-44,0.5
front,2,2,147,45,147-45,0.5
front,3,4,147,46,147-46,0.5
front,3,3,147,47,147-47,0.5
front,3,2,147,48,147-48,0.5
front,3,1,147,49,147-49,0.5
front,4,1,147,50,147-50,0.5
front,4,2,147,51,147-51,0.5
front,4,3,147,52,147-52,0.5
front,4,4,147,53,147-53,0.5
front,5,2,147,54,147-54,0.5
front,5,3,147,55,147-55,0.5
front,5,1,147,56,147-56,0.5
front,5,4,147,57,147-57,0.5
front,6,2,147,58,147-58,0.5
front,6,3,147,59,147-59,0.5
front,6,1,147,60,147-60,0.5
front,6,12,148,1,148-01,0.5
front,5,12,148,2,148-02,0.5
front,6,13,148,3,148-03,0.5
front,6,15,148,5,148-05,0.5
front,6,14,148,6,148-06,0.5
front,5,15,148,7,148-07,0.5
front,5,13,148,8,148-08,0.5
front,5,14,148,9,148-09,0.5
front,4,12,148,10,148-10,0.5
front,4,15,148,11,148-11,0.5
front,4,14,148,12,148-12,0.5
front,4,13,148,13,148-13,0.5
front,3,15,148,14,148-14,0.5
front,3,14,148,15,148-15,0.5
front,3,13,148,16,148-16,0.5
front,3,12,148,17,148-17,0.5
front,2,14,148,18,148-18,0.5
front,2,13,148,19,148-19,0.5
front,2,15,148,20,148-20,0.5
front,1,14,148,21,148-21,0.5
front,1,13,148,22,148-22,0.5
front,1,15,148,23,148-23,0.5
front,0,14,148,24,148-24,0.5
front,0,15,148,25,148-25,0.5
front,0,13,148,27,148-27,0.5
front,1,12,148,29,148-29,0.5
front,0,12,148,30,148-30,0.5
front,2,12,148,31,148-31,0.5
front,0,11,148,33,148-33,0.5
front,0,8,148,36,148-36,0.5
front,0,9,148,37,148-37,0.5
front,0,10,148,38,148-38,0.5
front,1,9,148,39,148-39,0.5
front,1,11,148,40,148-40,0.5
front,2,8,148,41,148-41,0.5
front,1,10,148,42,148-42,0.5
front,2,9,148,43,148-43,0.5
front,2,11,148,44,148-44,0.5
front,2,10,148,45,148-45,0.5
front,3,8,148,46,148-46,0.5
